company_email,company_name,company_id,instrument_type,regulatory_body,sector_name,security_name,status,symbol,website
info@prabhuinsurance.com,Prabhu Insurance Ltd.,184,Equity,Nepal Insurance Board,Non Life Insurance,Prabhu Insurance Ltd.,A,PRIN,http://www.prabhuinsurance.com
bishow.ad@sagarmathainsurance.com.np,Sagarmatha Insurance Co. Ltd.,185,Equity,Nepal Insurance Board,Non Life Insurance,Sagarmatha Insurance Co. Ltd.,A,SIC,
sharan.regmi@iginepal.com,IME General Insurance Ltd.,186,Equity,Nepal Insurance Board,Non Life Insurance,IME General Insurance Ltd.,A,IGI,http://www.iginepal.com
info@nepallife.com.np,Nepal Life Insurance Co. Ltd.,187,Equity,Nepal Insurance Board,Life Insurance,Nepal Life Insurance Co. Ltd.,A,NLIC,
binod.bhujel@licnepal.com.np,Life Insurance Co. Nepal,188,Equity,Nepal Insurance Board,Life Insurance,Life Insurance Co. Nepal,A,LICN,http://www.licnepal.com.np
anand.khadka@prudential.com.np,Prudential Insurance Co. Ltd.,189,Equity,Nepal Insurance Board,Non Life Insurance,Prudential Insurance Co. Ltd.,A,PICL,http://www.prudential.com.np
devendra@lgic.com.np,Lumbini General Insurance Co. Ltd.,190,Equity,Nepal Insurance Board,Non Life Insurance,Lumbini General Insurance Co. Ltd.,A,LGIL,
suraj@shikharinsurance.com                                               ,Shikhar Insurance Co. Ltd.,192,Equity,Nepal Insurance Board,Non Life Insurance,Shikhar Insurance Co. Ltd.,A,SICL,http://www.shikharinsurance.com
msm@msm.com,Morang Sugar Mills Limited,193,Equity,Department of Industry,Manufacturing And Processing,Morang Sugar Mills Limited,D,MSM,
mail@nefinsco.com,Nepal Finance Ltd.,194,Equity,Nepal Rastra Bank,Finance,Nepal Finance Ltd.,A,NFS,
prburma@coca-cola.com.np,Bottlers Nepal (Balaju) Limited,195,Equity,Department of Industry,Manufacturing And Processing,Bottlers Nepal (Balaju) Limited,A,BNL,
info@ncml.com.np,NIDC Capital Markets Ltd.,196,Equity,Nepal Rastra Bank,Finance,NIDC Capital Markets Ltd.,D,NCM,http://www.ncml.com.np
bjm@bjm.com,Biratnagar Jute Mills Limited,197,Equity,Department of Industry,Manufacturing And Processing,Biratnagar Jute Mills Limited,D,BJM,
g.bhattarai@cg.holdings,Nepal Lube Oil Limited,198,Equity,Department of Industry,Manufacturing And Processing,Nepal Lube Oil Limited,A,NLO,
info@nnfl.com.np,Narayani National Finance Limited,199,Equity,Nepal Rastra Bank,Finance,Narayani National Finance Limited,D,NNFC,http://www.nnfl.com.np
nsm@nsm.com,Nepal Share Markets Ltd.,200,Equity,Nepal Rastra Bank,Finance,Nepal Share Markets Ltd.,S,NSM,
nvg@nvg.com,Nepal Vanaspati Ghee Udhyog Limited,201,Equity,Department of Industry,Manufacturing And Processing,Nepal Vanaspati Ghee Udhyog Limited,S,NVG,
subashghimire@kailashbank.com,Kailash Bikas Bank Ltd.,202,Equity,Nepal Rastra Bank,Development Banks,Kailash Bikas Bank Ltd.,D,KBBL,http://www.kailashbank.com
account@srjml.com.np,Raghupati Jute Mills Limited,203,Equity,Department of Industry,Manufacturing And Processing,Raghupati Jute Mills Limited,S,RJM,
mukunda@gurkhasfinance.com.np,Gurkhas Finance Ltd.,204,Equity,Nepal Rastra Bank,Finance,Gurkhas Finance Ltd.,A,GUFL,
bsm@bsm.com,Butwal Spinning Mills Limited,205,Equity,Department of Industry,Manufacturing And Processing,Butwal Spinning Mills Limited,S,BSM,
pfcl@pfcl.com,Peoples Finance Ltd.,206,Equity,Nepal Rastra Bank,Finance,Peoples Finance Ltd.,D,PFCL,
gru@gru.com,Gorakhkali Rubber Udhyog Limited,207,Equity,Department of Industry,Manufacturing And Processing,Gorakhkali Rubber Udhyog Limited,S,GRU,
ufl@union.com.np,Union Finance Co. Ltd.,208,Equity,Nepal Rastra Bank,Finance,Union Finance Co. Ltd.,D,UFCL,
jsm@jsm.com,Jyoti Sinning Mills Limited,209,Equity,Department of Industry,Manufacturing And Processing,Jyoti Sinning Mills Limited,S,JSM,
cit.cmkt@gmail.com,Citizen Investment Trust,210,Equity,Nepal Rastra Bank,Investment,Citizen Investment Trust,A,CIT,
avu@avu.com,Arun Vanaspati Udhyog Limited,211,Equity,Department of Industry,Manufacturing And Processing,Arun Vanaspati Udhyog Limited,S,AVU,
nabb@nabb.com,Nepal Aawas Finance Limited,212,Equity,Nepal Rastra Bank,Finance,Nepal Aawas Finance Limited,D,NABB,
prburma@coca-cola.com.np,Bottlers Nepal (Terai) Limited,213,Equity,Department of Industry,Manufacturing And Processing,Bottlers Nepal (Terai) Limited,A,BNT,
nfl@nfl.com,Narayani Finance Ltd.,214,Equity,Nepal Rastra Bank,Finance,Narayani Finance Ltd.,D,NFL,
hbt@hbt.com,Harisiddhi Brick And Tiles Limited,215,Equity,Department of Industry,Manufacturing And Processing,Harisiddhi Brick And Tiles Limited,S,HBT,
info@ace.com.np,Ace Development Bank Ltd.,216,Equity,Nepal Rastra Bank,Development Banks,Ace Development Bank Ltd.,D,ACEDBL,
bsl@bsl.com,Birat Shoe Limited,217,Equity,Department of Industry,Manufacturing And Processing,Birat Shoe Limited,S,BSL,
yfl@yfl.com,Yeti Finance Ltd.,218,Equity,Nepal Rastra Bank,Finance,Yeti Finance Ltd.,D,YFL,
sonam.shrestha@unilever.com,Unilever Nepal Limited,219,Equity,Department of Industry,Manufacturing And Processing,Unilever Nepal Limited,A,UNL,
gflk@gflk.com,Gorkha Finance Ltd.,220,Equity,Nepal Rastra Bank,Finance,Gorkha Finance Ltd.,D,GFLK,
sfc@sfc.com,Samjhana Finance Co. Ltd.,221,Equity,Nepal Rastra Bank,Finance,Samjhana Finance Co. Ltd.,S,SFC,
nku@nku.com,Nepal Khadya Udhyog Limited,222,Equity,Department of Industry,Manufacturing And Processing,Nepal Khadya Udhyog Limited,S,NKU,
uflk@uflk.com,Universal Finance Ltd.,223,Equity,Nepal Rastra Bank,Finance,Universal Finance Ltd.,D,UFLK,
htu@htu.com,Himgiri Textile Industries Limited,224,Equity,Department of Industry,Manufacturing And Processing,Himgiri Textile Industries Limited,D,HTL,
nhmf@nhmf.com,Nepal Housing & Merchant Finance Ltd.,225,Equity,Nepal Rastra Bank,Finance,Nepal Housing & Merchant Finance Ltd.,D,NHMF,
sbpp@sbpp.com,Shree Bhrikuti Pulp And Paper Limited,226,Equity,Department of Industry,Manufacturing And Processing,Shree Bhrikuti Pulp And Paper Limited,S,SBPP,
raj.shrestha@bestfinance.com.np,Best Finance Company Ltd.,227,Equity,Nepal Rastra Bank,Finance,Best Finance Company Ltd.,A,BFC,
fhl@fhl.com,Fleur Himalayan Limited,228,Equity,Department of Industry,Manufacturing And Processing,Fleur Himalayan Limited,S,FHL,
info@mahalaxmi.com.np,Maha Laxmi Finance Ltd.,229,Equity,Nepal Rastra Bank,Finance,Maha Laxmi Finance Ltd.,D,MFL,
srs@srs.com,Shree Ram Sugar Mills Limited,230,Equity,Department of Industry,Manufacturing And Processing,Shree Ram Sugar Mills Limited,S,SRS,
lfc@lfc.com,Lalitpur Finance Ltd.,231,Equity,Nepal Rastra Bank,Finance,Lalitpur Finance Ltd.,S,LFC,
gfcl@gfcl.com,Goodwill Finance Co. Ltd.,232,Equity,Nepal Rastra Bank,Finance,Goodwill Finance Co. Ltd.,A,GFCL,
nbbu@nbbu.com,Nepal Bitumin And Barrel Udhyog Limited,233,Equity,Department of Industry,Manufacturing And Processing,Nepal Bitumin And Barrel Udhyog Limited,S,NBBU,
paficol@gmail.com,Paschimanchal Finance Co. Ltd.,234,Equity,Nepal Rastra Bank,Finance,Paschimanchal Finance Co. Ltd.,D,PFC,
netra.timsina@jginepal.com,Himalayan Distillery Limited,235,Equity,Department of Industry,Manufacturing And Processing,Himalayan Distillery Limited,A,HDL,
buddhilaxmi.gurung@pokharafinance.com.np,Pokhara Finance Ltd.,236,Equity,Nepal Rastra Bank,Finance,Pokhara Finance Ltd.,A,PFL,
lufil@mos.com.np,Lumbini Finance Ltd.,237,Equity,Nepal Rastra Bank,Finance,Lumbini Finance Ltd.,D,LFLC,http://www.lumbinifinance.com.np
pramod.dahal@nmb.com.np,NMB Bank Limited,238,Equity,Nepal Rastra Bank,Commercial Banks,NMB Bank Limited,A,NMB,http://www.nmb.com.np
sfl.bhwa@gmail.com,Siddharth Finance Ltd.,239,Equity,Nepal Rastra Bank,Finance,Siddharth Finance Ltd.,D,SFL,
abc@abc.com,Alpic Everest Finance Co. Ltd.,240,Equity,Nepal Rastra Bank,Finance,Alpic Everest Finance Co. Ltd.,D,AEFL,
abc@abc.com,Nepal Bangladesh Finance & Leasing Co. Ltd.,241,Equity,Nepal Rastra Bank,Finance,Nepal Bangladesh Finance & Leasing Co. Ltd.,D,NBFL,
shesh.dhungana@ufl.com.np,United Finance Ltd.,242,Equity,Nepal Rastra Bank,Finance,United Finance Ltd.,S,UFL,http://www.ufl.com.np
info@ilfco.com.np,International Leasing & Finance Co. Ltd.,243,Equity,Nepal Rastra Bank,Finance,International Leasing & Finance Co. Ltd.,D,ILFC,http://www.ilfco.com.np
info@shreefinance.com.np,Shree Investment Finance Co. Ltd.,244,Equity,Nepal Rastra Bank,Finance,Shree Investment Finance Co. Ltd.,A,SIFC,http://www.shreefinance.com.np
ashok@centralfinance.com.np,Central Finance Co. Ltd.,245,Equity,Nepal Rastra Bank,Finance,Central Finance Co. Ltd.,A,CFCL,
abc@abc.com,Nepal Shree Lanka Merchant Banking & Finance Ltd,246,Equity,Nepal Rastra Bank,Finance,Nepal Shree Lanka Merchant Banking & Finance Ltd,D,NSLMB,
abc@abc.com,Premier Finance Co. Ltd.,247,Equity,Nepal Rastra Bank,Finance,Premier Finance Co. Ltd.,D,PFCLL,
abc@abc.com,Nava Durga Finance Co. Ltd.,248,Equity,Nepal Rastra Bank,Finance,Nava Durga Finance Co. Ltd.,D,NDFL,
abc@abc.com,Synergy Finance Ltd.,249,Equity,Nepal Rastra Bank,Finance,Synergy Finance Ltd.,D,SYFL,
janakifinancecompany@yahoo.com,Janaki Finance Ltd.,250,Equity,Nepal Rastra Bank,Finance,Janaki Finance Ltd.,A,JFL,
abc@abc.com,Standard Finance Ltd.,251,Equity,Nepal Rastra Bank,Finance,Standard Finance Ltd.,D,STFL,
info@omfinance.com,Om Finance Ltd.,252,Equity,Nepal Rastra Bank,Finance,Om Finance Ltd.,D,OFL,http://www.omfinance.com
cmbfl@wlink.com.np,CMB Finance Limited,253,Equity,Nepal Rastra Bank,Finance,CMB Finance Limited,D,CMBF,
avu@avu.com,Fewa Finance Co. Ltd.,254,Equity,Nepal Rastra Bank,Finance,Fewa Finance Co. Ltd.,D,FFCL,
amit.bhandari@prabhubank.com,Prabhu  Bank Limited,255,Equity,Nepal Rastra Bank,Commercial Banks,Prabhu  Bank Limited,A,PRVU,
cs@sfcl.com.np,Samriddhi Finance Company Limited,256,Equity,Nepal Rastra Bank,Finance,Samriddhi Finance Company Limited,A,SFCL,http://www.wmerchantbank.com
avu@avu.com,Birgunj Finance Ltd.,257,Equity,Nepal Rastra Bank,Finance,Birgunj Finance Ltd.,D,BJFL,
efl@efl.com.np,Everest Finance Ltd.,258,Equity,Nepal Rastra Bank,Finance,Everest Finance Ltd.,D,EFL,
avu@avu.com,Capital Merchant Bank & Finance Co. Ltd.,259,Equity,Nepal Rastra Bank,Finance,Capital Merchant Bank & Finance Co. Ltd.,S,CMB,
info@pbsl.com.np,Prudential Finance Company Limited,260,Equity,Nepal Rastra Bank,Finance,Prudential Finance Company Limited,D,PFIL,
avu@avu.com,Shrijana Finance  (Bittaya Sanstha),261,Equity,Nepal Rastra Bank,Finance,Shrijana Finance  (Bittaya Sanstha),S,SFFIL,
info@apexbanknepal.com,Apex Development Bank Ltd.,262,Equity,Nepal Rastra Bank,Development Banks,Apex Development Bank Ltd.,D,APEX,
dipesh.shakya@gmbf.com.np,Guheshowori Merchant Bank & Finance Co. Ltd.,263,Equity,Nepal Rastra Bank,Finance,Guheshowori Merchant Bank & Finance Co. Ltd.,A,GMFIL,
avu@avu.com,IME Financial Institution,264,Equity,Nepal Rastra Bank,Finance,IME Financial Institution,D,IMEFI,
avu@avu.com,Bhajuratna Finance & Saving Co. Ltd.,265,Equity,Nepal Rastra Bank,Finance,Bhajuratna Finance & Saving Co. Ltd.,D,BFIL,
pafl@pafl.com,Patan Finance Limited,266,Equity,Nepal Rastra Bank,Finance,Patan Finance Limited,D,PFLBS,
anna@anna.com,Supreme Development Bank Ltd.,267,Equity,Nepal Rastra Bank,Development Banks,Supreme Development Bank Ltd.,D,SUPRME,
dr.shakya@swbbl.com.np,Swabalamban Laghubitta Bittiya Sanstha Limited,268,Equity,Nepal Rastra Bank,Microfinance,Swabalamban Laghubitta Bittiya Sanstha Limited,A,SWBBL,
info@ncml.com.np,NIDC Capital Markets Ltd.,269,Mutual Funds,Nepal Rastra Bank,Finance,NCM Mutual Fund,D,NCMMF,http://www.ncml.com.np
imperial@imperial.com,Imperial Financial Inst. Ltd.,270,Equity,Nepal Rastra Bank,Finance,Imperial Financial Inst. Ltd.,D,IFIL,
himchulibbs@wlink.com.np,Society Development Bank Ltd.,271,Equity,Nepal Rastra Bank,Development Banks,Society Development Bank Ltd.,D,SODBL,
marketing@civilmbsl.com,Civil Merchant Bittiya Santha Ltd.,272,Equity,Nepal Rastra Bank,Finance,Civil Merchant Bittiya Santha Ltd.,D,CMBSL,
sunil.pant@icfcbank.com,ICFC Finance Limited,273,Equity,Nepal Rastra Bank,Finance,ICFC Finance Limited,A,ICFC,http://www.icfcbank.com
info@edb.com.np,Excel Development Bank Ltd.,274,Equity,Nepal Rastra Bank,Development Banks,Excel Development Bank Ltd.,A,EDBL,
malika@nepse.com,Mahalaxmi BikasBank Limited,275,Equity,Nepal Rastra Bank,Development Banks,Mahalaxmi BikasBank Limited,D,MLBL1,
suresh.chapagain@ebl.com.np,Everest Bank Limited,277,Preference Shares,Nepal Rastra Bank,Commercial Banks,Everest Bank Limited Con. Pref.,A,EBLCP,
nepalxfinance@wlink.com.np,Nepal Express Finance Ltd.,278,Equity,Nepal Rastra Bank,Finance,Nepal Express Finance Ltd.,D,NEFL,http://www.nepalexfinance.com
info@biratlaxmibank.com.np,Biratlaxmi Bikas Bank Limited,279,Equity,Nepal Rastra Bank,Development Banks,Biratlaxmi Bikas Bank Limited,D,BLDBL,
info@siddharthainsurance.com,Siddhartha Insurance Ltd.,280,Equity,Nepal Insurance Board,Non Life Insurance,Siddhartha Insurance Ltd.,A,SIL,
info@idbank.com.np,Infrastructure Development Bank Ltd.,290,Equity,Nepal Rastra Bank,Development Banks,Infrastructure Development Bank Ltd.,D,IDBL,
legal@cityexpress.com.np,City Express Finance Co. Limited,296,Equity,Nepal Rastra Bank,Finance,City Express Finance Co. Limited,D,CEFL,
cs.nt@ntc.net.np,Nepal Doorsanchar Comapany Limited,307,Equity,N/A,Others,Nepal Doorsanchar Comapany Limited,A,NTC,http://www.ntc.net.np
info@prabhufin.com.np,Prabhu Bikas Bank Limited,308,Equity,Nepal Rastra Bank,Development Banks,Prabhu Bikas Bank Limited,D,PRBBL,
info@devabank.com.np,Deva Bikas Bank Limited,311,Equity,Nepal Rastra Bank,Development Banks,Deva Bikas Bank Limited,D,DBBL,
info@loardbuddhafinance.com.np,Lord Buddha Finance Limited,320,Equity,Nepal Rastra Bank,Finance,Lord Buddha Finance Limited,D,LBFIL,
info@sagarmatha.com.np,Sagarmatha  Finance Limited,321,Equity,Nepal Rastra Bank,Finance,Sagarmatha  Finance Limited,D,SAFL,
info@subbl.com.np,Subhechha Bikas Bank Limited,331,Equity,Nepal Rastra Bank,Development Banks,Subhechha Bikas Bank Limited,D,SUBBL,
kafil@wlink.com.np,Kaski Finance Limited,332,Equity,Nepal Rastra Bank,Finance,Kaski Finance Limited,D,KAFIL,http://www.kaskifinance.com.np
info@cedbl.com,Clean Energy Development Bank Limited,336,Equity,Nepal Rastra Bank,Development Banks,Clean Energy Development Bank Limited,D,CEDBL,http://www.cedbl.com
triveni@trivenibank.com.np,Triveni Bikas Bank Limited,337,Equity,Nepal Rastra Bank,Development Banks,Triveni Bikas Bank Limited,D,TBBL,http://www.trivenibank.com.np
bishal@pfltd.com.np,ProgressiveFinance Limited,338,Equity,Nepal Rastra Bank,Finance,ProgressiveFinance Limited,A,PROFL,http://www.pfltd.com.np
gbbn@wlink.com.np,Purwanchal Grameen Bikash Bank Limited,340,Equity,Nepal Rastra Bank,Development Banks,Purwanchal Grameen Bikash Bank Limited,D,PGBL,http://www.grameenbirat.com.np
bishnu.baskota@gibl.com.np,Global IME Bank Limited,341,Equity,Nepal Rastra Bank,Commercial Banks,Global IME Bank Limited,A,GBIME,http://www.globalimebank.com
info@reliablebank.com.np,Reliable Development Bank Limited,342,Equity,Nepal Rastra Bank,Development Banks,Reliable Development Bank Limited,D,REDBL,http://www.reliablebank.com.np
pbank@wlink.com.np,Axis Development Bank Limited,344,Equity,Nepal Rastra Bank,Development Banks,Axis Development Bank Limited,D,AXIS,http://www.pashupatibank.com.np
sbsl@mail.com.np,Shikhar Finance Limited,345,Equity,Nepal Rastra Bank,Finance,Shikhar Finance Limited,D,SBSL,http://www.shikharfinance.com.np
rajendra.shrestha@ctznbank.com,Citizen Bank International Limited,348,Equity,Nepal Rastra Bank,Commercial Banks,Citizen Bank International Limited,A,CZBIL,
info@boa.com.np,Bank of Asia Nepal Limited,349,Equity,Nepal Rastra Bank,Commercial Banks,Bank of Asia Nepal Limited,D,BOAN,
api@fewanet.com.np,Api Finance Limited,356,Equity,Nepal Rastra Bank,Finance,Api Finance Limited,D,AFL,
santosh.baral@pcbl.com.np,Prime Commercial Bank Ltd.,357,Equity,Nepal Rastra Bank,Commercial Banks,Prime Commercial Bank Ltd.,A,PCBL,
hari.subedi@lumbinibikasbank.com,Lumbini Bikas Bank Ltd.,358,Equity,Nepal Rastra Bank,Development Banks,Lumbini Bikas Bank Ltd.,A,LBBL,
ishwar.pathak@sunrisebank.com.np,Sunrise Bank Limited,359,Equity,Nepal Rastra Bank,Commercial Banks,Sunrise Bank Limited,A,SRBL,
arunvalley2054@gmail.com,Arun Valley Hydropower Development Co. Ltd.,360,Equity,Nepal Hydropower Board,Hydro Power,Arun Valley Hydropower Development Co. Ltd.,A,AHPC,
info@crystal.com.np,Crystal Finance Ltd.,361,Equity,Nepal Rastra Bank,Finance,Crystal Finance Ltd.,S,CFL,
info@mgbl.com.np,Madhyamanchal Gramin Development Bank Ltd.,364,Equity,Nepal Rastra Bank,Development Banks,Madhyamanchal Gramin Development Bank Ltd.,D,MGBL,
info@pdb.com.np,Public Development Bank Limited,367,Equity,Nepal Rastra Bank,Development Banks,Public Development Bank Limited,D,PDB,
info@mahakali.com.np,Mahakali Bikas Bank Limited,370,Equity,Nepal Rastra Bank,Development Banks,Mahakali Bikas Bank Limited,D,MBBL,
ramesh@miteribank.com.np,Miteri Development Bank Limited,371,Equity,Nepal Rastra Bank,Development Banks,Miteri Development Bank Limited,A,MDB,http://www.miteribank.com.np
pathibharabank@nns.com.np,Pathibhara Bikas Bank Limited,383,Equity,Nepal Rastra Bank,Development Banks,Pathibhara Bikas Bank Limited,D,PBSL,
resungabank@ntc.net.np,Resunga Bikas Bank Limited,384,Equity,Nepal Rastra Bank,Development Banks,Resunga Bikas Bank Limited,D,RBSL,
